"region","temp_1995_2009","temp_2010_2024","precip_1995_2009","precip_2010_2024","temp_change","precip_change"
"București-Ilfov",17.4886666666667,18.7286666666667,1.58533333333333,1.61733333333333,1.24,0.032
"Centru",12.804,14.18,1.47,1.574,1.376,0.104
"Nord-Est",13.864,15.308,1.47533333333333,1.44866666666667,1.444,-0.0266666666666666
"Nord-Vest",13.896,15.2713333333333,1.66266666666667,1.626,1.37533333333333,-0.0366666666666666
"Sud",16.288,17.556,1.43,1.51866666666667,1.268,0.0886666666666667
"Sud-Est",16.0986666666667,17.3006666666667,1.24466666666667,1.276,1.202,0.0313333333333334
"Sud-Vest",16.0433333333333,17.5733333333333,1.592,1.63333333333333,1.53,0.0413333333333332
"Vest",15.17,16.4053333333333,1.73933333333333,1.64466666666667,1.23533333333333,-0.0946666666666667
